,DayOfWeek,WeekOfMonth,Month,PopulationDensity,lag_1,lag_2,lag_3,States_Arunachal Pradesh,States_Assam,States_Bihar,States_Chandigarh,States_Chhattisgarh,States_DNH,States_Delhi,States_Goa,States_Gujarat,States_HP,States_Haryana,States_J&K,States_Jharkhand,States_Karnataka,States_Kerala,States_MP,States_Maharashtra,States_Manipur,States_Meghalaya,States_Mizoram,States_Nagaland,States_Odisha,States_Pondy,States_Punjab,States_Rajasthan,States_Sikkim,States_Tamil Nadu,States_Telangana,States_Tripura,States_UP,States_Uttarakhand,States_West Bengal
68,4,1,1,0.01524822695035461,0.6140283633576081,0.15944806439248752,0.4589881180528938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
69,4,1,1,0.009397163120567376,0.07244154848600996,0.6140283633576081,0.15944806439248752,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,4,1,1,0.024822695035460998,0.05711000383288616,0.07244154848600996,0.6140283633576081,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,4,1,1,0.029521276595744685,0.10137983901878114,0.05711000383288616,0.07244154848600996,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,4,1,1,0.01524822695035461,0.008623993867382137,0.10137983901878114,0.05711000383288616,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,4,1,1,0.025797872340425534,0.14277500958221537,0.008623993867382137,0.10137983901878114,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,4,1,1,0.01941489361702128,0.5779992334227672,0.14277500958221537,0.008623993867382137,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,4,1,1,0.03085106382978724,0.4580298965120736,0.5779992334227672,0.14277500958221537,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,4,1,1,0.03342198581560284,0.7579532387888078,0.4580298965120736,0.5779992334227672,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,4,1,1,0.08448581560283688,0.023572249904177844,0.7579532387888078,0.4580298965120736,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,4,1,1,0.025354609929078016,0.03142966653890379,0.023572249904177844,0.7579532387888078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,4,1,1,0.02615248226950355,0.31602146416251437,0.03142966653890379,0.023572249904177844,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
80,4,1,1,0.026773049645390075,0.38501341510157144,0.31602146416251437,0.03142966653890379,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,4,1,1,0.074645390070922,0.39287083173629744,0.38501341510157144,0.31602146416251437,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,4,1,1,0.04769503546099291,0.14009198926791874,0.39287083173629744,0.38501341510157144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
83,4,1,1,0.22881205673758867,0.5174396320429283,0.14009198926791874,0.39287083173629744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
84,4,1,1,0.09654255319148937,0.011690302798006898,0.5174396320429283,0.14009198926791874,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,4,1,1,0.03519503546099291,0.15829819854350324,0.011690302798006898,0.5174396320429283,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,4,1,1,0.022340425531914898,0.049827520122652354,0.15829819854350324,0.011690302798006898,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
87,4,1,1,0.0896276595744681,0.12648524338827133,0.049827520122652354,0.15829819854350324,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
88,4,1,1,0.006117021276595745,0.20410118819471057,0.12648524338827133,0.049827520122652354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
89,4,1,1,0.0,0.002683020314296665,0.20410118819471057,0.12648524338827133,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
90,4,1,1,0.03377659574468085,0.003641241855116903,0.002683020314296665,0.20410118819471057,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,4,1,1,0.009308510638297872,0.041011881947106164,0.003641241855116903,0.002683020314296665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,4,1,1,0.010195035460992909,0.004024530471444997,0.041011881947106164,0.003641241855116903,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
93,4,1,1,0.0031028368794326247,0.01149865848984285,0.004024530471444997,0.041011881947106164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
94,4,1,1,0.009042553191489363,0.002683020314296665,0.01149865848984285,0.004024530471444997,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
95,4,1,1,0.029521276595744685,0.003641241855116903,0.002683020314296665,0.01149865848984285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
96,5,1,1,0.04734042553191489,0.0061326178612495195,0.003641241855116903,0.002683020314296665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
97,5,1,1,0.04929078014184397,0.23131467995400534,0.0061326178612495195,0.003641241855116903,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,5,1,1,0.016312056737588655,0.24377155998466843,0.23131467995400534,0.0061326178612495195,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
99,5,1,1,1.0,0.45764660789574546,0.24377155998466843,0.23131467995400534,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,5,1,1,0.07189716312056739,0.1512073591414335,0.45764660789574546,0.24377155998466843,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
101,5,1,1,0.01524822695035461,0.5724415484860099,0.1512073591414335,0.45764660789574546,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
102,5,1,1,0.009397163120567376,0.0745496358758145,0.5724415484860099,0.1512073591414335,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,5,1,1,0.024822695035460998,0.0573016481410502,0.0745496358758145,0.5724415484860099,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,5,1,1,0.029521276595744685,0.09812188577999233,0.0573016481410502,0.0745496358758145,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,5,1,1,0.01524822695035461,0.0076657723265619,0.09812188577999233,0.0573016481410502,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106,5,1,1,0.025797872340425534,0.13165963970870062,0.0076657723265619,0.09812188577999233,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,5,1,1,0.01941489361702128,0.5996550402453046,0.13165963970870062,0.0076657723265619,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,5,1,1,0.03085106382978724,0.43675737830586425,0.5996550402453046,0.13165963970870062,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,5,1,1,0.03342198581560284,0.7872748179379072,0.43675737830586425,0.5996550402453046,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,5,1,1,0.08448581560283688,0.024338827136834034,0.7872748179379072,0.43675737830586425,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,5,1,1,0.025354609929078016,0.03315446531238022,0.024338827136834034,0.7872748179379072,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112,5,1,1,0.02615248226950355,0.3202376389421234,0.03315446531238022,0.024338827136834034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
113,5,1,1,0.026773049645390075,0.3859716366423917,0.3202376389421234,0.03315446531238022,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,5,1,1,0.074645390070922,0.4064775776159448,0.3859716366423917,0.3202376389421234,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,5,1,1,0.04769503546099291,0.1439248754311997,0.4064775776159448,0.3859716366423917,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
