,Usage
1965,80.6
1966,26.1
1967,71.2
1968,120.5
1969,2.0
1970,2.1
1971,24.1
1972,2.6
1973,6.5
1974,1.6
1975,2.1
1976,3.9
1977,111.2
1978,125.6
1979,243.6
1980,73.0
1981,282.1
1982,39.6
1983,31.8
1984,51.3
1985,4.4
1986,81.9
1987,330.4
1988,262.8
1989,448.3
1990,9.2
1991,18.4
1992,190.0
1993,224.4
1994,240.7
1995,75.0
1996,314.3
1997,7.4
1998,78.9
1999,25.6
2000,70.1
2001,118.9
2002,2.0
2003,2.5
2004,22.0
2005,2.6
2006,6.4
2007,1.8
2008,2.1
2009,3.9
2010,111.6
2011,124.7
2012,243.7
2013,68.0
2014,276.9
2015,39.2
2016,30.8
2017,51.1
2018,4.0
2019,80.8
2020,324.0
2021,264.8
2022,443.4
2023,10.6
2024,17.8
2025,188.6
2026,210.8
2027,233.8
2028,73.7
2029,306.3
2030,7.6
2031,76.8
2032,24.1
2033,70.1
2034,119.8
2035,2.1
2036,2.2
2037,23.0
2038,2.6
2039,6.6
2040,1.7
2041,2.1
2042,4.0
2043,106.1
2044,116.3
2045,242.5
2046,67.3
2047,276.8
2048,36.3
2049,27.7
2050,49.5
2051,3.7
2052,81.6
2053,316.4
2054,265.1
2055,435.6
2056,9.1
2057,17.8
2058,182.7
2059,204.6
2060,217.7
2061,67.0
2062,282.7
2063,6.7
2064,78.0
2065,24.7
2066,75.1
2067,111.4
2068,1.9
2069,2.2
2070,21.6
2071,2.6
2072,6.7
2073,1.7
2074,2.2
2075,3.6
2076,245.8
2077,186.0
2078,229.7
2079,111.7
2080,362.8
2081,39.8
2082,28.7
2083,35.2
2084,5.4
2085,88.7
2086,319.9
2087,166.9
2088,423.5
2089,10.2
2090,18.8
2091,175.5
2092,218.1
2093,172.7
2094,62.9
2095,284.8
2096,7.7
2097,109.4
2098,23.9
2099,87.6
2100,163.7
2101,0.8
2102,2.3
2103,36.8
2104,2.6
2105,5.5
2106,1.7
2107,2.3
2108,5.1
2109,256.7
2110,204.4
2111,232.4
2112,121.6
2113,405.5
2114,43.6
2115,29.4
2116,40.8
2117,6.1
2118,87.7
2119,313.0
2120,169.2
2121,429.0
2122,10.2
2123,18.8
2124,184.6
2125,225.4
2126,182.3
2127,63.4
2128,302.4
2129,8.2
2130,111.8
2131,24.8
2132,88.5
2133,167.1
2134,0.9
2135,2.3
2136,37.0
2137,2.6
2138,5.2
